,Subject,Domestic 2020-1,Domestic 2021-1,International 2020-1,International 2021-1
9,All visitors 1/,2065688.8614746146,6656779.263237346,612384.0000000127,120980.99999999994
12,Pleasure (net),1585411.7894763392,5734311.076687787,535053.6835880692,97479.80843982648
13,Vacation,1537843.9892113793,5515115.765672549,493663.23768373125,92525.66192184512
14,Honeymoon,47461.13401007429,233857.65827219986,41520.12573048683,5031.331542114272
15,Wedding/Get Married,14300.588382394839,45349.8214427916,6238.264466144442,523.9775605927351
16,"Meetings, conventions, incentive 1/",99371.94247803839,95389.93767115565,33069.67380648325,1853.243024181199
17,Convention/conference,63257.88861009614,43060.84247218476,14589.942348953573,559.6685978037649
18,Corporate meeting,21473.395218853144,28179.411788841317,2922.741449429745,703.0190682220921
19,Incentive,17908.67481140521,27826.40167849891,16189.623401170109,624.318168262917
20,Other business,95643.78356273314,143233.75545237964,3869.8296223848133,1856.115196122897
21,Visit friends or relatives,314951.7630207386,823268.6462164467,25984.270631179184,14045.000653671088
22,Government or military,34971.546715403754,56630.274644648096,1966.2499144322073,2980.238669729508
23,Attend school,6972.99696889818,14997.860382908075,1781.713840760928,721.719024091132
24,Sport event,13642.41028941026,18336.926820563618,3279.050517637743,524.4474293313617
27,Group tour,40101.460589200055,83512.02799881503,(NA),1269.3531994121759
28,Package,242518.87994712757,919219.121997913,(NA),9615.25453463354
29,True independent,1805153.758452192,5694151.637453871,(NA),110736.35238111718
32,Hotel,973338.860839794,3461804.78621774,441040.95423486736,56871.777871971026
33,Hotel only,818104.4712181499,3010088.0452274494,397682.8428215976,50205.46515507046
34,Condo,369549.0990562421,1286219.0977735997,106933.79169712111,31549.390794377607
35,Condo only,299472.3129521572,1057556.465054579,78340.13608340308,27229.893869428648
36,Timeshare,188207.49685915757,675741.3279064766,29539.36133118508,9229.77809027099
37,Timeshare only,149136.528618081,556602.5748939487,21556.965541316673,7342.589220852398
38,Rental house,256091.3992547644,797944.8329548754,33250.26952025728,7778.792477222645
39,Hostel,16764.415339115487,32618.098240562955,3633.1157362594267,1197.6138773285159
40,Camp site,16799.859670221875,32562.711382985006,3251.8389259408596,817.0257674167713
41,Bed & breakfast,27358.341129514054,67092.77426184798,6229.677458964475,542.1338510033988
42,Cruise ship,21926.019263642935,1723.2257915584296,2711.776703282501,106.91109869847374
43,"Friends, relatives",343111.4743124345,795986.5715951805,31259.561674101602,18756.936989911992
